deappu	tiäbbu
dearbastihkka	heeilâr
dearbmi	termi
dearga	ruzze
dearvvašvuohta	tie'rvâsvuotâ
dearvvašvuohta	tiervâsvuotâ
dearvvašvuođaguovddáš	tie'rvâsvuođâkuávdáš
dearvvašvuođaguovddáš	tiervâsvuođâkuávdáš
deattáldat	paJalâs~pajalâs
deattán	peinijâš
deavdda	tie'Vâdâs
delegašuvdna	airâskodde
delegašuvdna	väldikodde
demokratiija	demokratia
derpmoš	termispáálváš
detálja	ovtâskâsčyegis
diamehtar	čođâmitto
didnu	tinno
diehppi	tiep'pi
diehppi	tieppi
diehtojuohkin	tiä'đáttâs
diehtojuohkin	tiäđáttâs
diehtovuođđu	tiä'tuvuáĐu
diehtti	tiet'tee
diehtti	tiettee
diehtu	tiätu
dieigu	snäldeetähti
dienas	ánssu~ánsu
dievasčoahkkin	tie'vâslâščuák'kim
dievasčoahkkin	tievâslâščuákkim
dieđa	tieđâ
dieđáhus	tiä'đáttâs
diftoŋga	diftoŋ
digaštallan	nággu
diggegoddi	keerrivrieh'ti
diggi	tigge
diggi	äšši
dihkki	tikke
dihtor	tiättur
diibmoplána	luuhâmoornig
diibmoplána	äigitavlu
diibmu	tijme
dikta	ronno
diktáhtor	diktaattor
diktár	t'ivtâsteijee
dikšu	hoidájeijee
dikšu	tipšo
dikšun	huo'lâttâs
dildu	liivzâs
dilla	tillâ
dimádas	tuáv'ŋi
dines	tienâs
diret	tirkká
diva	loppiittâs
divat	máksu
divohat	tivottâh
divri	tivre
divrrasvuohta	ti'vrâsvuotâ
divrrasvuohta	tivrâsvuotâ
doaba	tuá'vádâh
doaba	tuávádâh
doahttu	tuát'tu
doahttu	tuáttu
doaibma	toimâ
doaibmabidju	toimâ
doaibmadoarjja	áigápuá'tutoorjâ
doaibmadoarjja	áigápuátutoorjâ
doaibmaplána	toimâvuávám
doaimmahus	toimâttâs
doaivva	tuái'vu
doaivva	tuáivu
doalli	cuápcil
doallu	toimâohtâdâh
doalut	piđoh
doarggástus	spoorrân
doarggástus	sporijdem
doarggástus	tuá'rgástâs
doarggástus	tuárgástâs
doaris	tuáris
doarjja	toorjâ
doarrádallan	váinu
doavhli	čäcikupâlâs
doavhli	čäcivätti
doavttir	tuáh'tár
doavttir	tuáhtár
doggi	togge
dohppa	tuppâ
dokumeanta	dokument
dokumeanta	äššikirje
doleš	tääsniluččim
dolgevuogga	puzzâvuog'gâ
dolgi	tolge
dolla	tullâ
dorski	torske
dorte	tortti
dorve	torvi
dorvu	torvo
dovddaldat	tubdâldâh
dovddastus	tubdâstâs
dovdomearka	tobdomerkkâ
dovdu	tobdo
dovkodat	tuáv'kkivuotâ
dovkodat	tuávkkivuotâ
dovtta	tuhtuu
doŋgeribuvssat	faarkuh
dronnet	kunâgâtâr
dubmehus	kaRodâs
duggu	tuggo
duhkoras	sieRâ
duhkoras	sierâ
duhpát	tubbáák
duiska	saksalâš
dukta	suvle
dulbodat	täässivvuotâ
dulka	tulkkâ
dulkon	tulkkum
dullejaš	tullijâš
dulvi	čäciollee
duodji	tyeJi
duoggi	tyeg'gi
duoggi	tyeggi
duogáš	tuávváš
duohtavuohta	tuo'tâvuotâ
duohtavuohta	tuotâvuotâ
duohčču	šiäš'tu
duohčču	šiäštu
duojár	tuáijár
duollji	tyel'ji
duollu	tulli
duolvvár	repči
duopma	tavetuoMâ
duopma	tavetuomâ
duopmostuollu	tuá'Mustovli
